Time Stamp,Name,PTID,LBMP,Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/01/2020 12:00,NPX,61845,19.1,1.62,-2.21
02/01/2020 12:00,O H,61846,14.83,-0.44,0
02/01/2020 12:00,PJM,61847,16.13,0.82,-0.03
02/01/2020 12:00,WEST,61752,15.27,0,0
02/01/2020 13:00,CAPITL,61757,16.49,1.16,0
02/01/2020 13:00,CENTRL,61754,15.61,0.28,0
02/01/2020 13:00,DUNWOD,61760,17.14,1.81,0
02/01/2020 13:00,GENESE,61753,15.24,-0.09,0
02/01/2020 13:00,H Q,61844,14.84,-0.49,0
02/01/2020 13:00,HUD VL,61758,16.88,1.55,0
02/01/2020 13:00,LONGIL,61762,19.59,2.38,-1.88
02/01/2020 13:00,MHK VL,61756,15.85,0.52,0
02/01/2020 13:00,MILLWD,61759,17.02,1.69,0
02/01/2020 13:00,N.Y.C.,61761,17.39,2.01,-0.06
02/01/2020 13:00,NORTH,61755,14.75,-0.58,0
02/01/2020 13:00,NPX,61845,19.02,1.61,-2.08
02/01/2020 13:00,O H,61846,14.87,-0.46,0
02/01/2020 13:00,PJM,61847,16.15,0.81,0
02/01/2020 13:00,WEST,61752,15.31,-0.02,0
02/01/2020 14:00,CAPITL,61757,15.18,1.07,0
02/01/2020 14:00,CENTRL,61754,14.34,0.23,0
02/01/2020 14:00,DUNWOD,61760,15.82,1.71,0
02/01/2020 14:00,GENESE,61753,13.96,-0.15,0
02/01/2020 14:00,H Q,61844,13.66,-0.45,0
02/01/2020 14:00,HUD VL,61758,15.58,1.47,0
02/01/2020 14:00,LONGIL,61762,19.41,2.19,-3.11
02/01/2020 14:00,MHK VL,61756,14.56,0.45,0
02/01/2020 14:00,MILLWD,61759,15.69,1.58,0
02/01/2020 14:00,N.Y.C.,61761,16.01,1.88,-0.02
02/01/2020 14:00,NORTH,61755,13.58,-0.54,0
02/01/2020 14:00,NPX,61845,19.08,1.52,-3.44
02/01/2020 14:00,O H,61846,13.61,-0.51,0
02/01/2020 14:00,PJM,61847,14.85,0.73,0
02/01/2020 14:00,WEST,61752,14,-0.11,0
02/01/2020 15:00,CAPITL,61757,14.77,1.03,0
02/01/2020 15:00,CENTRL,61754,13.96,0.22,0
02/01/2020 15:00,DUNWOD,61760,15.4,1.66,0
02/01/2020 15:00,GENESE,61753,13.59,-0.15,0
02/01/2020 15:00,H Q,61844,13.3,-0.44,0
02/01/2020 15:00,HUD VL,61758,15.18,1.44,0
02/01/2020 15:00,LONGIL,61762,19.73,2.16,-3.83
02/01/2020 15:00,MHK VL,61756,14.18,0.44,0
02/01/2020 15:00,MILLWD,61759,15.28,1.54,0
02/01/2020 15:00,N.Y.C.,61761,15.59,1.83,-0.02
02/01/2020 15:00,NORTH,61755,13.22,-0.52,0
02/01/2020 15:00,NPX,61845,19.29,1.48,-4.06
02/01/2020 15:00,O H,61846,13.28,-0.47,0
02/01/2020 15:00,PJM,61847,14.47,0.73,0
02/01/2020 15:00,WEST,61752,13.67,-0.07,0
02/01/2020 16:00,CAPITL,61757,16.59,1.17,0
02/01/2020 16:00,CENTRL,61754,15.65,0.23,0
02/01/2020 16:00,DUNWOD,61760,17.33,1.91,0
02/01/2020 16:00,GENESE,61753,15.2,-0.22,0
02/01/2020 16:00,H Q,61844,14.92,-0.49,0
02/01/2020 16:00,HUD VL,61758,17.08,1.67,0
02/01/2020 16:00,LONGIL,61762,20.82,2.47,-2.94
02/01/2020 16:00,MHK VL,61756,15.91,0.49,0
02/01/2020 16:00,MILLWD,61759,17.2,1.79,0
02/01/2020 16:00,N.Y.C.,61761,17.64,2.1,-0.12
02/01/2020 16:00,NORTH,61755,14.85,-0.57,0
02/01/2020 16:00,NPX,61845,21.1,1.7,-3.99
02/01/2020 16:00,O H,61846,14.8,-0.62,0
02/01/2020 16:00,PJM,61847,16.23,0.8,-0.01
02/01/2020 16:00,WEST,61752,15.23,-0.18,0
02/01/2020 17:00,CAPITL,61757,19.1,1.32,0
02/01/2020 17:00,CENTRL,61754,18.08,0.3,0
02/01/2020 17:00,DUNWOD,61760,20,2.22,0
02/01/2020 17:00,GENESE,61753,17.57,-0.21,0
02/01/2020 17:00,H Q,61844,17.21,-0.57,0
02/01/2020 17:00,HUD VL,61758,19.7,1.92,0
02/01/2020 17:00,LONGIL,61762,24.59,2.86,-3.94
02/01/2020 17:00,MHK VL,61756,18.44,0.66,0
02/01/2020 17:00,MILLWD,61759,19.84,2.06,0
02/01/2020 17:00,N.Y.C.,61761,21.97,2.42,-1.77
02/01/2020 17:00,NORTH,61755,17.12,-0.66,0
02/01/2020 17:00,NPX,61845,23.73,1.94,-4.01
02/01/2020 17:00,O H,61846,17,-0.78,0
02/01/2020 17:00,PJM,61847,18.67,0.89,0
02/01/2020 17:00,WEST,61752,17.52,-0.27,0
02/01/2020 18:00,CAPITL,61757,18.67,1.29,0
02/01/2020 18:00,CENTRL,61754,17.68,0.3,0
02/01/2020 18:00,DUNWOD,61760,19.57,2.19,0
02/01/2020 18:00,GENESE,61753,17.17,-0.21,0
02/01/2020 18:00,H Q,61844,16.82,-0.56,0
02/01/2020 18:00,HUD VL,61758,19.27,1.89,0
